symbol,days_of_data,date_from,date_to,avg_volume,avg_close
PCBL,337,2023-12-26,2025-05-06,3627601.2611275963,360.9143323442136
DBREALTY,337,2023-12-26,2025-05-06,3592307.510385757,192.34629080118702
SWANENERGY,337,2023-12-26,2025-05-06,3493107.465875371,593.8385756676553
WELSPUNLIV,337,2023-12-26,2025-05-06,3480187.7863501483,152.03094955489615
JSWINFRA,337,2023-12-26,2025-05-06,3396993.3086053412,284.06483679525223
AUBANK,337,2023-12-26,2025-05-06,3368496.1661721068,625.7455489614241
AMBUJACEM,337,2023-12-26,2025-05-06,3357216.59347181,580.8912462908006
CGPOWER,337,2023-12-26,2025-05-06,3343926.578635015,629.6823442136499
SBFC,337,2023-12-26,2025-05-06,3246805.0830860534,86.4691097922849
M&M,337,2023-12-26,2025-05-06,3232557.3857566766,2574.643620178039
REDINGTON,337,2023-12-26,2025-05-06,3224361.169139466,206.65442136498524
CROMPTON,337,2023-12-26,2025-05-06,3196609.1216617213,367.23857566765605
UPL,337,2023-12-26,2025-05-06,3185210.9643916916,542.1816023738876
HCLTECH,337,2023-12-26,2025-05-06,3111902.118694362,1637.736350148368
M&MFIN,337,2023-12-26,2025-05-06,3047771.3145400593,281.08412462908035
COCHINSHIP,337,2023-12-26,2025-05-06,2927562.412462908,1500.0600890207722
DEVYANI,337,2023-12-26,2025-05-06,2924165.3649851633,170.29961424332333
CHAMBLFERT,337,2023-12-26,2025-05-06,2908411.5608308604,475.60059347181044
JWL,337,2023-12-26,2025-05-06,2893227.3916913946,459.11839762611265
ADANIENSOL,337,2023-12-26,2025-05-06,2861750.5578635014,957.7422848664697
ADANIGREEN,337,2023-12-26,2025-05-06,2859874.6617210684,1527.0302670623157
AWL,337,2023-12-26,2025-05-06,2824132.9080118695,325.10308605341265
DELHIVERY,337,2023-12-26,2025-05-06,2815058.6201780415,379.92925816023785
LICI,337,2023-12-26,2025-05-06,2744886.0830860534,937.7897626112765
DABUR,337,2023-12-26,2025-05-06,2716181.721068249,550.1243323442137
WAAREEENER,128,2024-10-28,2025-05-06,2676249.1328125,2554.466796874999
AFCONS,123,2024-11-04,2025-05-06,2659011.0894308942,476.45853658536583
JUBLFOOD,337,2023-12-26,2025-05-06,2603526.931750742,591.8102373887237
LAURUSLABS,337,2023-12-26,2025-05-06,2514777.727002967,487.32537091988127
BSOFT,337,2023-12-26,2025-05-06,2465975.7388724037,617.6158753709202
IRCTC,337,2023-12-26,2025-05-06,2464137.4362017806,887.9431750741841
TCS,337,2023-12-26,2025-05-06,2438711.75074184,4001.6360534124647
LT,337,2023-12-26,2025-05-06,2425203.9198813057,3532.2421364985184
