date,open,high,low,close,volume
2023-12-26,3778.0,3835.0,3756.1,3797.85,151623
2023-12-27,3820.0,3881.0,3771.0,3851.0,194880
2023-12-28,3860.55,3868.8,3816.0,3840.55,98788
2023-12-29,3852.0,3884.0,3820.0,3853.2,85727
2024-01-01,3852.0,3883.45,3832.05,3857.55,70286
2024-01-02,3860.0,3897.4,3811.25,3856.85,90311
2024-01-03,3864.6,3882.0,3835.15,3867.85,74420
2024-01-04,3870.0,3882.85,3779.6,3796.2,296664
2024-01-05,3799.95,3829.9,3782.6,3822.65,150782
2024-01-08,3825.05,3827.95,3600.0,3609.7,637074
2024-01-09,3610.0,3633.0,3475.8,3500.85,726913
2024-01-10,3520.0,3535.35,3461.1,3491.05,349077
2024-01-11,3519.95,3551.6,3495.2,3531.4,274714
2024-01-12,3565.0,3565.0,3522.05,3534.85,235308
2024-01-15,3544.0,3550.95,3508.4,3536.2,219075
2024-01-16,3525.0,3542.0,3482.2,3489.75,154577
2024-01-17,3482.2,3510.0,3435.0,3445.95,185354
2024-01-18,3445.95,3459.95,3388.0,3402.5,187213
2024-01-19,3437.0,3459.95,3399.5,3411.0,144779
2024-01-20,3440.0,3508.1,3416.45,3442.4,114718
2024-01-23,3442.4,3452.6,3338.5,3362.35,154574
2024-01-24,3362.35,3425.0,3332.0,3420.3,104919
2024-01-25,3428.0,3428.0,3330.0,3344.55,210184
2024-01-29,3360.0,3380.0,3296.2,3324.1,220222
2024-01-30,3340.0,3363.95,3303.0,3308.05,137530
2024-01-31,3310.0,3425.0,3286.8,3417.5,282092
2024-02-01,3415.6,3422.6,3315.25,3322.6,119362
2024-02-02,3352.15,3366.05,3320.0,3325.2,62110
2024-02-05,3325.0,3330.0,3217.5,3235.15,189760
2024-02-06,3221.2,3295.0,3203.0,3261.5,208032
2024-02-07,3220.05,3243.0,3030.1,3093.2,2573353
2024-02-08,3100.0,3105.0,3045.3,3073.4,528933
2024-02-09,3086.5,3090.0,3001.1,3028.4,328102
2024-02-12,3064.0,3126.5,3040.3,3073.95,263915
2024-02-13,3100.0,3114.45,3030.0,3103.5,129061
