symbol,avg_return,volatility,historical_var_95,persistence,forecast_volatility,return_to_var_ratio,sharpe_ratio,return_score,volatility_score,var_score,risk_reward_score
BHARTIARTL,0.19044536163212952,23.428159225404652,2.4483762520177503,0.51333340478936,23.294834483625678,0.07778435257864477,0.008128908455838794,0.7927730108270166,0.6181856428439518,0.719061985801595,0.7182834929244707
BOSCHLTD,0.09194231965544124,25.200375548698354,1.8028905266218196,0.9427020945747608,25.524159418972864,0.05099717276107656,0.003648450376375055,0.6642472092062316,0.5893034063135592,0.7931280031209115,0.6804283065128338
BRITANNIA,0.008630085176518273,21.129552108077934,1.862129922923112,0.3138471987338776,20.443685342065972,0.00463452365502566,0.000408436730337457,0.5555422239961659,0.6556465970065279,0.7863306008239883,0.6548100489476212
HDFCLIFE,0.0365022424040233,23.725240253749924,2.180497662796045,0.8965919557727677,23.833847004852817,0.01674032631487281,0.0015385404747694342,0.5919095409711425,0.6133440417275522,0.7497996139909696,0.6457069131040136
NESTLEIND,-0.02427277229944567,19.462884242028505,2.1414110058187266,0.11140966182056335,19.48795318826179,-0.011334943284353511,-0.0012471313088853813,0.5126108987512714,0.6828086848917025,0.7542845977771881,0.6361723443011758
GODREJCP,0.04076419190891286,28.25603773181527,2.1217797259262063,1.4948275108353646e-15,28.214205718801313,0.019212263841911457,0.0014426719094805661,0.5974704908219387,0.5395045432911622,0.7565371816211266,0.6278007138024622
JSWSTEEL,0.03622005337522534,27.248878125215786,2.5845662310527833,0.5023436223418303,27.333373642859662,0.014013977641606676,0.0013292309947141544,0.5915413434981809,0.5559184661285284,0.7034349177673037,0.614422552568022
LUPIN,0.13955700680427938,29.034876219929345,4.105966849797729,0.5673566173346591,28.92854496349878,0.03398882940595449,0.00480653011045001,0.726374385300708,0.5268116247478561,0.5288623747285507,0.6072519539632053
GVT&D,0.3492655250218598,46.49642137568419,4.925742971722015,0.6513429855462513,48.78617603460845,0.07090616116734941,0.007511664654788078,1.0,0.24223661505753802,0.43479747126819435,0.6031102258977197
HAVELLS,0.04425023277041252,26.364912987975913,3.2215950748895312,0.9559625135044341,26.73847538231085,0.013735504227491986,0.0016783758319473103,0.6020190426962361,0.5703246590084885,0.6303392821487532,0.6010067994256669
